תחקירן,נושא,פוליטיקאי,אמירה,תאריך אמירה,מקור אמירה,סוג,הפרכה,תאריך הפרכה,מקור הפרכה
גיא זוהר,פוליטי,בנימין נתניהו,"
ראש הממשלה נתניהו הבטיח שדברים יקרו כבר בשבוע הראשון לכהונת ממשלתו.
 ",2023-01-24,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_wjmf7a39,הבטחה,לא קרה,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_wjmf7a39
גיא זוהר,פוליטי,בנימין נתניהו,"
בחדשות מזכירים לנתניהו את הבטחת הבחירות שלו למנוע את עליית מחירי החשמל
 ",2022-12-21,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_q9b2ggam,הבטחה,לא קרה,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_q9b2ggam
גיא זוהר,כלכלי,בנימין נתניהו,"
יושב ראש הליכוד נתניהו קורא לנו לשמוע על העתיד הכלכלי שלנו
 ",2022-09-13,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_u4b0fik3,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_u4b0fik3
גיא זוהר,מדיני,בנימין נתניהו,"
ראש הממשלה נתניהו מאשים שקודמיו לא עשו דבר בעניין איראן
 
",2023-03-09,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_vctgu1db,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_vctgu1db
גיא זוהר,פוליטי,בנימין נתניהו,"
בקואליציה טוענים שהימין לא נהג בהתנתקות כפי שהשמאל נוהג כיום. אז בדקנו
 ",2023-02-19,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_zgt5zus4,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_zgt5zus4
גיא זוהר,כלכלי,בנימין נתניהו,"
ביש עתיד מתלוננים שנתניהו לא מפסיק להתלונן על מחירי הדלק - אז בדקנו
 ",2022-08-18,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_m0jbr1ff,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_m0jbr1ff
גיא זוהר,פוליטי,בנימין נתניהו,"
ראש האופוזיציה נתניהו העיד שהוא לא קורא עיתונים
 ",2022-07-11,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_hhca13nh,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_hhca13nh
גיא זוהר,פוליטי,בנימין נתניהו,"
מדוע נתניהו נדהם מדברי אמסלם?
 ",2022-06-23,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_87z1xa1l,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_87z1xa1l
גיא זוהר,כלכלי,בנימין נתניהו,"
נתניהו טוען שלפיד סירב להוציא את הגז מהאדמה, לפיד מכחיש בתוקף.
 ",2022-05-17,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_2rgzbvzn,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_2rgzbvzn
גיא זוהר,פוליטי,בנימין נתניהו,"
ראש האופוזיציה נתניהו טוען שממשלת בנט החזירה את ""ישראל השנייה"" לשיח
 ",2022-03-13,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_rk70r8ft,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_rk70r8ft
גיא זוהר,כלכלי,בנימין נתניהו,"
בדיקת עובדות לתוכנית הכלכלית של נתניהו
 ",2022-09-04,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_uvy0dk7h,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_uvy0dk7h
טרו,בטחוני,בצלאל סמוטריץ',פירוק המנהל האזרחי והכפפת ההתיישבות למשרדי ממשלה,2022-07-21,https://story.mako.co.il/elections_promises/c/349ca14e/?cardId=349ca14e,הבטחה,"סמוטריץ' לא יקבל סמכות למנות את ראש המנהל ואת מתאם פעולות הממשלה בשטחים (קצינים בדרגות תת-אלוף ואלוף) כפי שדרש וסיכם עם נתניהו בהסכם הקואליציוני, אך ימנה סגן אזרחי מטעמו לראש המנהל האזרחי.",2023-02-23,https://www.ynet.co.il/news/article/ryny8inas
גיא זוהר,פוליטי,בצלאל סמוטריץ',"
הפער בין סמוטריץ' לבין איך שהוא תופס את עצמו
 
",2022-08-04,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_sbcc6wgx,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_sbcc6wgx
גיא זוהר,פוליטי,בצלאל סמוטריץ',"
סמוטריץ' ובן גביר אוהבים להתווכח על הרשימה המשותפת, בעבר חלקו דעות
 ",2022-07-26,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_hu0yifoa,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_hu0yifoa
גיא זוהר,משפטי,גלית דיסטל אטבריאן,"
שרת ההסברה מצטטת נתונים מעניינים בסרטון הסברה למען הרפורמה המשפטית.
 ",2022-09-29,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_dx1c75d0,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_dx1c75d0
טרו,כלכלי,יאיר לפיד,"""נצמצם מחדש את גודל הממשלה ל-18 שרים וארבעה סגני שרים. נבטל את המוסד 'שר בלי תיק'""",2015-03-19,"https://www.ynet.co.il/articles/0,7340,L-4638749,00.html",הבטחה,"""נכשלתי במספר השרים, זה חלק מהדרך להקים ממשלה""",2021-06-07,https://www.ynet.co.il/news/article/rJsjaui5u
טרו,דת ,יאיר לפיד,אין הדתה בבתי הספר,2017-07-04,https://13tv.co.il/item/news/politics/politics/tdk3n-349937/?fbclid=IwAR3rMNsm0UA4KWQJLg83m-9mUa1q0DTqgUSzdKWBunWaJJyCsKMYUTiHsCg,טענה,חזר בו ואמר יש הדתה,2017-07-04,https://www.youtube.com/watch?v=ShLetGEI0j4
גיא זוהר,פוליטי,יאיר לפיד,"
חברי יש עתיד בעד ישיבה עם הרשימה המשותפת או נגד? יש פער בין העבר להווה
 ",2022-06-30,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_0m9ldir8,הבטחה,לא קרה,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_0m9ldir8
גיא זוהר,מדיני,יאיר לפיד,"
לפיד אמר שרוב העם תומכים בפתרון שתי המדינות, על מה הוא מתבסס?
 ",2023-03-01,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_mp0acea9,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_mp0acea9
גיא זוהר,פוליטי,יאיר לפיד,"
לפיד קורא לשר בן גביר ""שר הטיקטוק"", אבל מי מבלה ברשת החברתית יותר?
 
",2023-01-10,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_ginotcaq,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_ginotcaq
גיא זוהר,פוליטי,יאיר לפיד,"
למה יאיר לפיד המשיך לבקר את הממשלה הקודמת עם מספר סגני שרים לא נכון?
 ",2022-09-28,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_0r2niqy3,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_0r2niqy3
גיא זוהר,דיור,יאיר לפיד,"
מה נשתנה אצל יאיר לפיד? פעם ראש קבינט הדיור, והיום הוא לא מצוי בזה
 ",2022-03-20,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_vszvioc3,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_vszvioc3
גיא זוהר,פוליטי,יאיר לפיד,"
יש עתיד התגאתה בהישגי הממשלה בתוך שנה
 ",2022-08-23,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_o79atklg,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_o79atklg
טרו,כלכלי,יצחק גולדקנופ,להכניס מוצרים בסיסיים נוספים לפיקוח ולייצר סל נגיש לכל בן אדם במדינה,2022-08-16,https://www.themarker.com/news/politics/2022-09-16/ty-article-magazine/.premium/00000183-4180-dfd0-a5f7-4f836e1d0000,הבטחה,גל ההתייקרויות במשק: מחירי מוצרי החלב שבפיקוח יעלו ב-16%,2023-01-30,https://www.themarker.com/consumer/2023-01-30/ty-article/.premium/00000186-0283-dd19-addf-0abf7e150000
גיא זוהר,דת,יצחק גולדקנופ,"
יצחק גולדקנופף לא חושב שמתמטיקה ואנגלית קידמו את ישראל. אז הוצאנו לוח
 ",2023-02-20,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_7r2nrawi,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_7r2nrawi
גיא זוהר,תרבות,מכלוף מיקי זוהר,"
""השבת הישראלית"" של השר מיקי זוהר
 ",2023-01-25,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_47tppn1j,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_47tppn1j
גיא זוהר,תחבורה,מרב מיכאלי,"
שרת התחבורה מיכאלי מבטיחה שמעכשיו יהיה רישוי לקורקינטים חשמליים. בטוח?
 ",2022-09-14,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_fbbu6b6i,הבטחה,לא קרה,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_fbbu6b6i
גיא זוהר,פנים,מרב מיכאלי,"
מיכאלי גאה להיות שרה ראשונה שמבקרת בגליל מזה שנים. מצאנו כאלה שביקרו
 ",2022-12-12,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_3xedjlh9,טענה,לא אמת,,https://cdnapisec.kaltura.com/p/2717431/sp/271743100/embedIframeJs/uiconf_id/45733501​/partner_id/2717431?iframeembed=true&playerId=playerid_45733501​&entry_id=1_3xedjlh9
